"","X.1","X","Address","Zip","Date","Event","Price","Beds","Baths","SqrFt","LotSize","Time","DaysOnMarket","RollTimeAv"
"178",211,15751,"127 Melodic Dr, Newark, DE",19713,2009-09-22,"Sold",169900,2,1,925,9147,680,74,128.333333333333
"179",9046,20495,"520 Blacksmith Ln, Newark, DE",19702,2009-09-23,"Sold",196000,3,1,1700,2178,681,178,135.8
"180",6851,14655,"6 Cordrey Rd, Newark, DE",19713,2009-09-25,"Listed for sale",239900,3,2,1575,7840,683,157,129.933333333333
"181",4905,21786,"213 Barrett Run Pl, Newark, DE",19702,2009-09-28,"Sold",203400,2,2.5,1415,1742,686,136,132.333333333333
"182",2379,12704,"1111 Blair Ct, Newark, DE",19711,2009-09-29,"Sold",138500,3,1.5,1250,2178,687,37,128.066666666667
"183",1374,18247,"8 Verdi Cir, Newark, DE",19702,2009-09-29,"Sold",155000,3,2,1125,5662,687,94,114.533333333333
"184",3998,17982,"625 Lockhaven Ct, Newark, DE",19702,2009-09-30,"Sold",135900,3,1,1350,5662,688,175,114.533333333333
"185",10825,20953,"10 Spring Dr, Newark, DE",19702,2009-10-05,"Sold",165000,3,2.5,1825,3484,693,287,131.2
"186",7073,10779,"15 Rockrose Dr, Newark, DE",19711,2009-10-05,"Listed for sale",260000,4,1.5,1600,6969,693,211,137.733333333333
"187",8161,17180,"4 E Green Valley Cir, Newark, DE",19711,2009-10-05,"Sold",195000,3,2.5,1650,3484,693,248,122.4
"188",13554,2650,"102 Stature Dr, Newark, DE",19713,2009-10-16,"Sold",245000,4,3,2200,7840,704,71,119.733333333333
"189",8212,18965,"120 Shinn Cir, Wilmington, DE",19808,2009-10-16,"Listed for sale",295000,3,3,1650,3049,704,34,135.733333333333
"190",2723,13168,"14 Ethan Allen Ct, Newark, DE",19711,2009-10-17,"Listed for sale",155000,3,1.5,1275,2178,705,45,133.8
"191",117,15278,"1 Defoe Cir, Newark, DE",19702,2009-10-24,"Listed for sale",158900,2,1,810,6969,712,388,157.2
"192",12890,24,"10 Barnard St, Newark, DE",19711,2009-10-24,"Listed for sale",265000,4,3,2075,8276,712,163,150.933333333333
"193",7130,13001,"128 Sonant Dr, Newark, DE",19713,2009-10-24,"Listed for sale",199900,3,2,1600,10018,712,250,143.733333333333
"194",5919,10811,"16 Ferncliff Rd, Newark, DE",19711,2009-10-27,"Listed for sale",252900,3,2,1500,6534,715,156,149.4
"195",1077,8577,"16 Metten Rd, Newark, DE",19713,2009-10-31,"Listed for sale",199900,3,1,1125,6969,719,368,171.8
"196",2400,13907,"29 Curlew Cir, Newark, DE",19702,2009-11-07,"Listed for sale",102000,3,2,1250,3484,726,86,170.866666666667
"197",11608,19874,"28 Sentry Ln, Newark, DE",19711,2009-11-10,"Listed for sale",235000,4,2,1900,6534,729,155,178.733333333333
"198",14909,108,"102 Radcliffe Dr, Newark, DE",19711,2009-11-14,"Listed for sale",249900,4,3,2725,9583,733,44,174.866666666667
"199",11141,17462,"44 Helios Ct, Newark, DE",19711,2009-11-17,"Sold",205000,3,1.5,1850,2178,736,59,115
"200",8214,18967,"120 Shinn Cir, Wilmington, DE",19808,2009-11-19,"Sold",290000,3,3,1650,3049,738,34,113.066666666667
"201",2201,19538,"209 Fieldstone Ln, Newark, DE",19702,2009-11-24,"Sold",8e+05,2,3,1225,1742,743,100,115.466666666667
