"","X.1","X","Address","Zip","Date","Event","Price","Beds","Baths","SqrFt","LotSize","Time","DaysOnMarket","RollTimeAv"
"114",14698,255,"11 Worral Ct, Newark, DE",19711,2016-07-06,"Sold",259000,5,2.5,2600,8712,33,96,112.466666666667
"115",8978,18732,"111 Benham Ct, Newark, DE",19711,2016-07-06,"Sold",255000,3,2.5,1700,5227,33,96,108.2
"116",11799,19006,"124 Monet Cir, Wilmington, DE",19808,2016-07-06,"Listed for sale",289900,4,3,1925,6098,33,92,82.9333333333333
"117",6348,19095,"135 Cannonball Ln, Newark, DE",19702,2016-07-06,"Listed for sale",190000,3,2,1525,7840,33,166,89.1333333333333
"118",13040,967,"224 S Dillwyn Rd, Newark, DE",19711,2016-07-06,"Sold",253000,4,2,2100,6534,33,47,106.6
"119",10037,19913,"3 Cardenti Ct, Newark, DE",19702,2016-07-06,"Listed for sale",2049000,3,2.5,1775,3049,33,138,95.3333333333333
"120",168,17220,"4 Spencer Ct, Newark, DE",19702,2016-07-06,"Listed for sale",159000,3,1,900,7840,33,44,93.4666666666667
"121",14025,7165,"421 S Barrington Ct, Newark, DE",19702,2016-07-06,"Listed for sale",304500,4,4,2300,8276,33,51,93.4666666666667
"122",7462,22690,"59 W Kyla Marie Dr, Newark, DE",19702,2016-07-06,"Sold",178500,2,2,1600,2178,33,91,101.266666666667
"123",5597,11869,"6 Davies Rd, Newark, DE",19713,2016-07-06,"Listed for sale",210000,4,2,1475,10454,33,51,92.2
"124",15028,8043,"811 S Twin Lakes Blvd, Newark, DE",19711,2016-07-06,"Sold",290000,3,3.5,2800,5663,33,168,104.933333333333
"125",4594,13475,"2014 Cervantes Ct, Newark, DE",19702,2016-07-07,"Listed for sale",169900,3,2.5,1400,2178,34,84,94.2
"126",773,8909,"22 W Stephen Dr, Newark, DE",19713,2016-07-07,"Sold",159000,3,1,1064,8276,34,104,97.2666666666667
"127",6305,16568,"26 Country Ln W, Newark, DE",19702,2016-07-07,"Listed for sale",240000,3,2.5,1525,6534,34,60,84.8
"128",9199,20320,"408 Douglas D Alley Dr, Newark, DE",19713,2016-07-07,"Listed for sale",285000,3,3,1704,9583,34,90,87
"129",1832,16210,"2 Bass Ct, Newark, DE",19713,2016-07-08,"Listed for sale",170000,2,1,1200,7840,35,213,97.6
"130",6805,13994,"3 Havertown Rd, Newark, DE",19713,2016-07-08,"Sold",185000,3,1.5,1575,7840,35,56,90.8666666666667
"131",5954,12172,"716 Bent Ln, Newark, DE",19711,2016-07-08,"Sold",230000,3,2,1500,9147,35,56,90.4666666666667
"132",2504,18558,"104 Clover Ct, Newark, DE",19711,2016-07-09,"Listed for sale",169900,2,2,1250,2178,36,227,95.1333333333333
"133",6183,12600,"107 Greenfield Rd, Newark, DE",19713,2016-07-09,"Listed for sale",214900,5,2,1525,7840,36,81,95.6666666666667
"134",12539,1596,"401 Hudson Dr, Newark, DE",19711,2016-07-09,"Listed for sale",264900,4,2.5,2025,6970,36,132,103.6
"135",9754,17620,"5 Juniper Dr, Newark, DE",19702,2016-07-09,"Listed for sale",174900,4,2.5,1755,6970,36,87,106.2
"136",6440,12118,"701 Ilse Dr, Newark, DE",19713,2016-07-10,"Sold",194000,4,2,1550,8276,37,54,89.7333333333333
"137",13154,1057,"25 Anderson Rd, Newark, DE",19713,2016-07-11,"Sold",216900,3,2,2125,9583,38,63,88.7333333333333
"138",1142,9506,"46 Meadow Ln, Newark, DE",19713,2016-07-12,"Listed for sale",144900,3,1,1125,6969,39,24,102.666666666667
"139",12879,15,"1 Oak Ave, Newark, DE",19711,2016-07-13,"Listed for sale",249900,5,2.5,2072,9148,40,217,111
"140",724,18662,"11 Creekside Dr, Newark, DE",19702,2016-07-13,"Listed for sale",219900,3,2,1050,6969,40,78,105.133333333333
"141",11155,18711,"1102 Oakland Ct, Newark, DE",19711,2016-07-13,"Listed for sale",245000,3,2.5,1850,2613,40,218,110.466666666667
"142",9824,12824,"12 Andries Rd, Newark, DE",19711,2016-07-13,"Listed for sale",234900,4,2.5,1775,6969,40,216,121.933333333333
